fips,county,attain_nohs,attain_nohsdiploma,attain_hs,attain_somecol,attain_aa,attain_ba,attain_grad,attain_hsup,attain_baup,MYS,enrol_preschool,thirdgrade_reading,thirdgrade_maths,suspensions,juvenile_felony,highered_enroll,hs_grad_rate,college_readiness,discon_youth,econ_con,expo,child_exposure,bias_grp_mem,child_bias,clustering,support_ratio,volunteering_rate,association_rate,civic_orgs
06021,Glenn,13.8,10.9,28.199999999999996,24.6,8.6,10.9,3.0,75.3,13.900000000000002,12.006583351930374,23.5,33.1,28.1,53.9,,33.7,77.0,27.900000000000002,18.7,0.63274997,0.72228003,0.76699001,0.14271,0.0078400001,0.11322,0.99119997,0.078610003,9.2800799515,0.01146
06023,Humboldt,2.8000000000000003,6.800000000000001,23.5,27.500000000000004,9.5,19.6,10.2,90.3,29.799999999999997,13.76131642485807,57.4,41.9,41.6,66.2,2.9,52.5,86.0,22.7,12.1,0.81883001,0.78816998,0.91426998,0.02692,0.023490001,0.10776,0.98978001,0.10646,9.5780500564,0.024180001
06025,Imperial,16.900000000000002,14.2,24.5,23.799999999999997,6.3,9.9,4.6,69.0,14.499999999999998,11.658833159560267,50.5,37.0,37.9,37.9,2.5,40.9,85.0,33.0,21.3,0.73171002,0.85036999,0.74009001,0.065459996,0.01629,0.10064,0.99202001,0.041129999,4.828210066,0.01122
06027,Inyo,4.2,6.9,29.299999999999997,25.6,7.9,16.1,10.0,88.8,26.1,13.413281485955904,65.0,38.6,43.1,16.3,,26.5,30.0,24.099999999999998,18.1,0.79105997,0.88428003,0.89468998,0.18206,0.01435,0.12489,0.99720001,0.069789998,10.405257393,0.031399999
06029,Kern,13.600000000000001,12.6,27.700000000000003,22.8,7.199999999999999,10.7,5.4,73.8,16.1,12.054003006953579,32.800000000000004,39.800000000000004,37.6,41.7,4.4,32.300000000000004,83.0,36.9,19.2,0.6207,0.71630001,0.83491999,0.096919999,0.02987,0.087279998,0.98127002,0.05748,4.5569138131,0.0098900003
06031,Kings,12.8,13.5,25.5,26.0,8.7,9.5,4.0,73.7,13.5,12.043153778663577,35.6,41.9,40.5,49.0,5.9,28.599999999999998,83.0,38.7,18.5,0.61815,0.79390001,0.98345,0.13026001,0.05576,0.089280002,0.98330998,0.029449999,3.9744311595,0.0046399999
06033,Lake,5.6000000000000005,9.2,30.099999999999998,27.800000000000004,11.5,10.299999999999999,5.5,85.2,15.8,12.859712462818468,43.7,34.4,31.0,65.6,3.8,28.7,86.0,24.0,13.900000000000002,0.65311998,0.73504001,0.77903003,0.11292,-0.036060002,0.10667,0.99138999,0.084639996,5.8831725782,0.0177
06035,Lassen,3.8,13.4,33.2,27.800000000000004,9.700000000000001,8.0,4.1000000000000005,82.8,12.0,12.69736489504243,47.599999999999994,40.2,38.6,63.8,10.7,13.600000000000001,85.0,11.1,54.2,0.81195998,0.88123,1.03023,0.083489999,0.00029,0.10753,0.99467999,0.17283,5.1044823736,0.02445
06037,Los Angeles,12.6,8.7,20.7,19.2,7.000000000000001,20.7,11.1,78.7,31.8,12.880322501431236,54.50000000000001,48.3,48.699999999999996,20.3,3.8,49.8,79.0,56.2,11.0,0.73580003,0.89952999,0.77687001,0.18278,0.031800002,0.081759997,0.94514,0.046920002,5.5681783768,0.01358
06039,Madera,16.900000000000002,11.200000000000001,25.0,24.5,7.9,10.0,4.5,71.89999999999999,14.499999999999998,11.731309591300313,36.9,35.8,36.7,62.4,3.8,33.900000000000006,83.0,36.4,15.7,0.56068999,0.66540003,0.95143002,0.11641,0.058150001,0.08743,0.97716999,0.033229999,4.9032890747,0.0079300003
06041,Marin,3.9,2.9000000000000004,10.9,17.0,6.5,33.2,25.6,93.2,58.8,15.083451855506164,69.19999999999999,62.6,63.1,27.5,3.8,45.9,92.0,62.8,10.7,0.81247997,1.12514,1.2437299,0.27077001,0.060249999,0.086240001,0.95152998,0.082209997,8.3454239896,0.029689999
06043,Mariposa,3.2,6.4,26.5,30.599999999999998,9.8,14.6,8.799999999999999,90.4,23.400000000000002,13.469507284574274,30.5,42.3,39.6,45.0,,25.4,92.0,24.7,18.1,0.95354998,0.90099001,0.92852002,0.032579999,-0.02758,0.1116,0.99344999,0.099679999,10.267526097,0.035270002
06045,Mendocino,6.0,7.1,25.8,28.499999999999996,7.9,16.3,8.3,86.9,24.7,13.247738636547519,45.2,31.3,34.599999999999994,69.2,9.8,30.8,84.0,28.599999999999998,13.3,0.69420999,0.70657003,0.80641001,0.12383,0.069360003,0.11799,0.99517,0.096100003,8.3286745998,0.02589
06047,Merced,18.5,12.1,25.8,22.400000000000002,7.1,9.1,4.8,69.39999999999999,14.000000000000002,11.514246934204031,45.1,38.0,37.5,49.4,6.0,46.800000000000004,87.0,34.599999999999994,13.900000000000002,0.63156003,0.74434,0.95649999,0.15636,0.067089997,0.091959998,0.98152,0.036540002,4.0602708089,0.0085399998
06049,Modoc,7.000000000000001,7.3999999999999995,32.300000000000004,26.1,11.4,10.4,5.5,85.6,15.9,12.711058615089325,43.5,33.7,31.6,95.0,,6.5,89.0,35.199999999999996,28.999999999999996,0.66933,0.67451,0.68629003,0.086300001,-0.037670001,0.12079,0.99549001,0.075089999,4.4617958728,0.032480001
06051,Mono,6.5,4.8,22.8,28.1,7.199999999999999,23.3,7.3999999999999995,88.7,30.599999999999998,13.567765385381398,55.1,31.900000000000002,27.700000000000003,18.9,,15.4,32.0,37.7,18.1,0.9637,1.0992301,0.80631,0.12785,0.077660002,0.10773,0.99330002,0.069799997,9.3464663168,0.03342
06053,Monterey,19.5,9.2,20.4,18.2,8.1,14.7,9.700000000000001,71.3,24.5,12.121519480708706,36.3,34.9,37.3,41.3,4.4,43.1,85.0,44.4,12.2,0.61296999,0.82450998,0.95789999,0.15775999,0.06033,0.092030004,0.97865999,0.072810002,5.1855505211,0.01629
06055,Napa,9.700000000000001,5.2,18.0,23.0,9.2,23.0,11.899999999999999,85.1,34.9,13.451888617389537,46.6,43.4,46.5,32.6,3.7,48.4,89.0,50.5,8.7,0.80387002,1.15949,1.24265,0.22245,0.10683,0.091959998,0.98259002,0.051109999,8.1428651654,0.01936
06057,Nevada,2.0,3.8,18.4,28.7,10.5,23.599999999999998,13.0,94.19999999999999,36.6,14.27510326352323,55.50000000000001,49.3,47.5,46.5,6.5,45.800000000000004,47.0,28.299999999999997,14.499999999999998,1.01335,1.1038001,1.10402,0.1132,0.0075900001,0.090109996,0.98294002,0.12127,9.4056251707,0.030200001
